User	Text	Date	Retweet Count	Reply To
Irish_Gael	Do please read &amp; RT my blog post: A Lost Tribe - the "British" in a corner of Ireland http://t.co/ZuWZcFLge7 #vinb #MidWeek #Miriam #Twip	2015-06-24 23:59:43	1	None
Irish_Gael	Do please read &amp; RT my blog post: Orange Order – parades of murder and mayhem http://t.co/on2ViLGTGj  #vinb #MidWeek #rtept #Miriam #Twip	2015-06-24 23:59:14	3	None
tnteacherTim	.@newstalknt  @gavinsblog is a modern journalistic GOD. Simples #vinb	2015-06-24 23:57:13	1	None
thesecondgoing	@thegubugazzette http://t.co/FQb2u7LALz Here, Share ☺ #IRB #Irish #IndependenceDay . #Peoplesdebate #VinB @EDinCali @IrishCentral #Jan21st	2015-06-24 23:51:18	2	thegubugazzette
bernyclay	#applauding sperm!  Well done Mr politician #PeoplesDebate #vinb	2015-06-24 23:48:22	0	None
GeoHashTrend	Top Trends Austria-Jun25 00:57 CEST #zib2 #vinb🆕 #23GoldenYearsOfSRK📉 #asylgipfel🆕 #1Dfragrance🌐📉 Firmino🔥  http://t.co/KRliTss6F0	2015-06-24 23:44:07	0	None
maryjenki	PM Tsipras says Greek creditors didn’t accept reform plan — RT Business http://t.co/tifEiPRn53 #vinb #greece	2015-06-24 23:40:54	0	None
Disildoforus	i was rudely interrupted earlier from watching Transformers 4 by #vinb ... #GrabsRemote	2015-06-24 23:39:37	0	None
LegalEagleStar	As a matter of interest,what agreement did #TV3 come to with #FineGael to make participation in #VinB #PeoplesDebate acceptable to them?	2015-06-24 23:38:15	5	None
thesecondgoing	@thegubugazzette President of France said that too. Provisional government. @ddi are to reinstate 47,48. Fuck king George V! #VinB	2015-06-24 23:35:11	0	thegubugazzette
steven_hennessy	@GerardKennelly ha its probably fair to say a SF plant wouldnt be asking a question that would give #vinb the opportunity to attack a SF TD.	2015-06-24 23:30:34	0	GerardKennelly
bernyclay	Lovely people in Kerry, very passionate in #PeoplesDebate but I can't help thinking they sound Indian when some of them speak #vinb	2015-06-24 23:28:56	0	None
ge2015bot	PPLimages: #vinb Don't #underestimate a #HealyRae All sides #begrudgingly expect MHealyRae 2 #SweepTheBoards in #G… http://t.co/XT45Jt9u7M	2015-06-24 23:24:11	0	None
Kittic	The #PeoplesDebate from the Kerry constituency was really interesting. #vinb	2015-06-24 23:20:16	0	None
RayMcGrath	If the Irish Daily Star's slogan is "Better because we're Irish" why does it try to imitate the worst excesses of the UK gutter press? #vinb	2015-06-24 23:15:07	0	None
Devine147	1 thing I did notice at the water protest was that everyone there was a hard-liner and were there at start and there till the end ! #vinb	2015-06-24 23:11:04	0	None
ger_mccann	#vinb If fg policies don't suit yer man from fg, what's he doing at their  party? Run as an Independent or join another party.!	2015-06-24 23:08:42	3	None
rosecaroline9	#vinb @BGriffinTD congrats on  recent arr of your baby. @FineGael ignores abortion steals a country's Future  #brokenpromises #ivoteprolife	2015-06-24 23:07:13	0	None
strumpetcity	@R2WKillarney Shows like #vinb can often be choreographed and managed  @labour	2015-06-24 23:06:06	0	R2WKillarney
RayMcGrath	I see @IsFearrAnStar is squeezing yet more 'stories' out of the Graham Dwyer case. #vinb	2015-06-24 23:03:57	0	None
eyezopen32	#vinb if fg,lab or ff where building companies, would u trust them to build ur home.	2015-06-24 23:02:43	0	None
steven_hennessy	Though not relevant to the peoples debate, I think vincents attack on Martin Ferris should,nt have been edited. Just the show the bias #vinb	2015-06-24 23:02:15	2	None
IrelandUncut	We should send @DonnellyStephen @PearseDoherty and Peter Matthews to "PIGS" debt conference @ronanburtenshaw @ReadaCronin #vinb #twip #rtept	2015-06-24 23:02:14	3	ronanburtenshaw
ReclaimTheVoice	#vinb tweet machine needs oiling.....perhaps..?	2015-06-24 23:02:03	0	None
cliolmac	#vinb Headlines or audio paper?!?	2015-06-24 23:01:22	0	None
Devine147	Spent most of the day in A&amp;E yesterday its some mess 75y old woman there most of day starving serious medical past, delirious she was #vinb	2015-06-24 23:01:11	12	None
maryjenki	#vinb https://t.co/ekba9VNcUc	2015-06-24 23:01:10	1	None
ATMH1994	Worrying the power paramilitaries still have in NI #vinb	2015-06-24 23:01:08	0	None
sean_ocathain	“@irishexaminer: Neanderthal DNA discovery |http://t.co/puYphfA60a (RMC) http://t.co/onpFYSysTZ”-&gt;found under black cap in south Kerry #vinb	2015-06-24 23:01:07	0	irishexaminer
PPLimages	#vinb Don't #underestimate a #HealyRae All sides #begrudgingly expect @MHealyRae 2 #SweepTheBoards in #GE15 / #GE16 They'll get d #LastLaugh	2015-06-24 23:00:49	0	None
breakfastrollma	shock horror EU leaders may have to work saturday #vinb	2015-06-24 23:00:38	1	None
GraTire	People WANT to assert their rights. But Party politics wants a vested interest &amp; pre-decides for us! Reject them all! #vinb #democracy #fb	2015-06-24 23:00:04	1	None
unspeakable28	I have 2 words for #vinb &amp; his ad breaks .... The second word is OFF	2015-06-24 22:58:28	0	None
ATMH1994	Pollen has a threatening Northside accent why? #vinb	2015-06-24 22:57:28	0	None
dirt_ein	Love how mental Ireland is...TV Political debate getting heated ...RIGHT enough of that, bring out the music &amp; dancers for a session! #vinb	2015-06-24 22:57:18	0	None
markgarrigan1	50 shades of Rae is out now on dvd #vinb	2015-06-24 22:57:15	0	None
StephenAMcMahon	#vinb is there anyone out there ? 400,000 patients waiting for 1st meet to see a consultant =20% of the entire population of public patients	2015-06-24 22:56:59	6	None
ReclaimTheVoice	Was thinking of releasing a debut Album  called   'This Page Cant Be Displayed'                 by  Pat Rabbitte and The Broadbands  #vinb	2015-06-24 22:56:58	2	None
adriantowey	@niamh_lyons you're the fairest flower of all always great on #vinb oíche mhaith	2015-06-24 22:55:56	0	niamh_lyons
nmaher36	Back to the capital Kiev for the papers now.. I'm sad #vinb	2015-06-24 22:55:36	0	None
aidanodr	#vinb RT @RT_com PM Tsipras says Greek creditors didn’t accept reform plan http://t.co/7pd8HQ6n8o http://t.co/91p2Z89zRw	2015-06-24 22:55:05	0	RT_com
Tobano5	@FCTwenteBenson A J Spring too afraid to show up .. he knows that he's Spring has Sprung here in Kerry. #vinb	2015-06-24 22:54:55	2	FCTwenteBenson
